date,label,category,url
2019-05-29,Department of Energy Authorizes Additional LNG Exports from ...,other,https://www.energy.gov/articles/department-energy-authorizes-additional-lng-exports-freeport-lng
2020-07-29,Department of Energy Announces $100 Million for Artificial ...,other,https://www.energy.gov/articles/department-energy-announces-100-million-artificial-photosynthesis-research
2020-08-26,"White House Office of Technology Policy, National Science ...",policy,https://www.energy.gov/articles/white-house-office-technology-policy-national-science-foundation-and-department-energy
2020-10-07,Department of Energy Announces Energy Incubator Prize Selections ...,other,https://www.energy.gov/articles/department-energy-announces-energy-incubator-prize-selections
2020-10-19,NNSA to conduct aerial radiation measurements over Washington ...,other,https://www.energy.gov/nnsa/articles/nnsa-conduct-aerial-radiation-measurements-over-washington-dc
2021-05-19,DOE Announces $40 Million to Reduce Fuel Waste From Advanced ...,other,https://www.energy.gov/articles/doe-announces-40-million-reduce-fuel-waste-advanced-nuclear-reactors
2021-08-30,"DOE Releases New Reports Highlighting Record Growth, Declining ...",other,https://www.energy.gov/articles/doe-releases-new-reports-highlighting-record-growth-declining-costs-wind-power
2022-03-16,DOE Issues Two LNG Export Authorizations | Department of Energy,other,https://www.energy.gov/articles/doe-issues-two-lng-export-authorizations
2022-11-02,Biden-Harris Administration Announces State And Tribe Allocations ...,other,https://www.energy.gov/articles/biden-harris-administration-announces-state-and-tribe-allocations-home-energy-rebate
2023-02-22,U.S. Department of Energy Announces New Actions to Accelerate ...,policy,https://www.energy.gov/articles/us-department-energy-announces-new-actions-accelerate-us-floating-offshore-wind-deployment
2025-02-18,Energy Department Acts to Lower Prices and Increase Consumer ...,policy,https://www.energy.gov/articles/energy-department-acts-lower-prices-and-increase-consumer-choice-household-appliances
2025-05-02,DOE Announces New Leadership to Tackle Challenges of Growing ...,other,https://www.energy.gov/articles/doe-announces-new-leadership-tackle-challenges-growing-energy-demand
2025-05-13,Energy Department Slashes 47 Burdensome and Costly ...,other,https://www.energy.gov/articles/energy-department-slashes-47-burdensome-and-costly-regulations-delivering-first-milestone
2025-05-15,Secretary Wright Announces New Policy for Increasing ...,policy,https://www.energy.gov/articles/secretary-wright-announces-new-policy-increasing-accountability-identifying-wasteful
2025-05-19,NNSA completes assembly of the first B61-13 nuclear gravity bomb ...,other,https://www.energy.gov/nnsa/articles/nnsa-completes-assembly-first-b61-13-nuclear-gravity-bomb-ahead-schedule
2025-05-30,"Secretary Wright Announces Termination of 24 Projects, Generating ...",other,https://www.energy.gov/articles/secretary-wright-announces-termination-24-projects-generating-over-3-billion-taxpayer
