date,label,category,url
2025-07-05,Energy Department Announces Pilot Program to Build Advanced U.S. Nuclear Fuel Lines and End Foreign Dependence,other,https://www.energy.gov/articles/energy-department-announces-pilot-program-build-advanced-us-nuclear-fuel-lines-and-end
2025-07-07,DOE Releases New Report Evaluating Increase in Electricity Demand from Data Centers,other,https://www.energy.gov/articles/doe-releases-new-report-evaluating-increase-electricity-demand-data-centers
2025-07-02,Department of Energy Releases Report on Evaluating U.S. Grid Reliability and Security,other,https://www.energy.gov/articles/department-energy-releases-report-evaluating-us-grid-reliability-and-security
2025-07-05,ICYMI: Energy Secretary: The World Needs More Reliable American Energy,other,https://www.energy.gov/articles/icymi-energy-secretary-world-needs-more-reliable-american-energy
0150-07-20,Department of Energy,other,https://www.energy.gov/
1987-07-20,National Nuclear Security Administration,other,https://www.energy.gov/nnsa/national-nuclear-security-administration
2025-07-01,Energy Department Authorizes Strategic Petroleum Reserve Exchange to Support Fuel Supply in Gulf Coast,other,https://www.energy.gov/articles/energy-department-authorizes-strategic-petroleum-reserve-exchange-support-fuel-supply-gulf
2025-07-03,Energy Department Announces First Microreactor Experiments in DOME Test Bed,policy,https://www.energy.gov/ne/articles/energy-department-announces-first-microreactor-experiments-dome-test-bed
2025-07-04,National Lab Conducts First-Ever High Burnup U.S. Fuel Safety Test,other,https://www.energy.gov/ne/articles/national-lab-conducts-first-ever-high-burnup-us-fuel-safety-test
2025-07-03,DOE Awards New Contract for Environmental Management Technical Support Services,policy,https://www.energy.gov/em/articles/doe-awards-new-contract-environmental-management-technical-support-services
2025-07-03,Energy Secretary Announces Updated NEPA Procedures to End Permitting Paralysis and Unleash American Energy,other,https://www.energy.gov/articles/energy-secretary-announces-updated-nepa-procedures-end-permitting-paralysis-and-unleash
2025-07-27,DOE Releases Strategy to Accelerate and Expand Domestic Offshore Wind Deployment,tech,https://www.energy.gov/articles/doe-releases-strategy-accelerate-and-expand-domestic-offshore-wind-deployment
2025-07-02,"Energy Department Slashes 47 Burdensome and Costly Regulations, Delivering First Milestone in America’s Biggest Deregulatory Effort",policy,https://www.energy.gov/articles/energy-department-slashes-47-burdensome-and-costly-regulations-delivering-first-milestone
2025-07-24,DOE Announces Plans to Purchase Another 6 Million Barrels of Oil for Strategic Petroleum Reserve Replenishment,other,https://www.energy.gov/articles/doe-announces-plans-purchase-another-6-million-barrels-oil-strategic-petroleum-reserve
2025-07-09,U.S. Department of Energy Issues Final HALEU Environmental Impact Statement,policy,https://www.energy.gov/ne/articles/us-department-energy-issues-final-haleu-environmental-impact-statement
2025-07-05,Energy Department Acts to Lower Prices and Increase Consumer Choice with Household Appliances,policy,https://www.energy.gov/articles/energy-department-acts-lower-prices-and-increase-consumer-choice-household-appliances
2033-07-20,DOE Announces Continued Action To Protect American Consumers And Address Global Supply Disruption Caused By Putin’s Energy Price Hike,policy,https://www.energy.gov/articles/doe-announces-continued-action-protect-american-consumers-and-address-global-supply
2025-07-01,"Secretary Wright Announces Termination of 24 Projects, Generating Over $3 Billion in Taxpayer Savings",other,https://www.energy.gov/articles/secretary-wright-announces-termination-24-projects-generating-over-3-billion-taxpayer
2025-07-08,DOE and NNSA Advance Historic Effort to Harness AI National Security Mission,other,https://www.energy.gov/articles/doe-and-nnsa-advance-historic-effort-harness-ai-national-security-mission
2025-07-13,DOE Announces First Projects Under New Cleanup to Clean Energy Initiative,other,https://www.energy.gov/articles/doe-announces-first-projects-under-new-cleanup-clean-energy-initiative
2025-07-29,LPO Offers Conditional Commitment to Redwood Materials to Produce Critical Electric Vehicle Battery Components From Recycled Materials,other,https://www.energy.gov/lpo/articles/lpo-offers-conditional-commitment-redwood-materials-produce-critical-electric-vehicle
2033-07-20,United States Announces $94 Billion Of Global Public Funding To Accelerate Clean Energy Worldwide,other,https://www.energy.gov/articles/united-states-announces-94-billion-global-public-funding-accelerate-clean-energy-worldwide
2025-07-24,Los Alamos Takes Important Step in Transuranic Waste Operations,other,https://www.energy.gov/em/articles/los-alamos-takes-important-step-transuranic-waste-operations
2025-07-24,Biden-Harris Administration Secures Good Deal for Taxpayers as it Continues to Replenish the Strategic Petroleum Reserve,other,https://www.energy.gov/articles/biden-harris-administration-secures-good-deal-taxpayers-it-continues-replenish-strategic
2035-07-20,DOE Finds Record Production and Job Growth in U.S. Wind Power Sector,other,https://www.energy.gov/articles/doe-finds-record-production-and-job-growth-us-wind-power-sector
2025-07-19,"At COP28, Countries Launch Declaration to Triple Nuclear Energy Capacity by 2050, Recognizing the Key Role of Nuclear Energy in Reaching Net Zero",other,https://www.energy.gov/articles/cop28-countries-launch-declaration-triple-nuclear-energy-capacity-2050-recognizing-key
2039-07-20,ICYMI: Secretary Granholm Traveled to Arizona and Nevada to Highlight Rural Investments in Clean Energy,other,https://www.energy.gov/articles/icymi-secretary-granholm-traveled-arizona-and-nevada-highlight-rural-investments-clean
2040-07-20,DOE Issues Two LNG Export Authorizations,other,https://www.energy.gov/articles/doe-issues-two-lng-export-authorizations
2025-07-31,U.S. Department of Energy Establishes High-Assay Low-Enriched Uranium Consortium,other,https://www.energy.gov/ne/articles/us-department-energy-establishes-high-assay-low-enriched-uranium-consortium
2025-07-11,Biden-Harris Administration Invests $371 Million in 20 Projects to Accelerate Transmission Permitting Across America,other,https://www.energy.gov/articles/biden-harris-administration-invests-371-million-20-projects-accelerate-transmission
2025-07-24,DOE Welcomes New Biden-Harris Appointees and Announces Promotions,other,https://www.energy.gov/articles/doe-welcomes-new-biden-harris-appointees-and-announces-promotions-0
2025-07-12,"DOE Announces Roadmap for New Initiative for Artificial Intelligence in Science, Security and Technology",policy,https://www.energy.gov/articles/doe-announces-roadmap-new-initiative-artificial-intelligence-science-security-and
2025-07-02,DOE Announces New Leadership to Tackle Challenges of Growing Energy Demand,other,https://www.energy.gov/articles/doe-announces-new-leadership-tackle-challenges-growing-energy-demand
2025-07-06,U.S. Department of Energy Announces $25 Million to Advance the U.S. Aquaculture Industry for Biomass Production in the Deep Ocean | ARPA-E,other,https://arpa-e.energy.gov/news-and-events/news-and-insights/us-department-energy-announces-25-million-advance-us-aquaculture-industry-biomass-production-deep-ocean
2025-07-23,DOE Brings Partners Together for First-Ever Net Zero World Ministerial,other,https://www.energy.gov/articles/doe-brings-partners-together-first-ever-net-zero-world-ministerial
2025-07-07,The Second Cohort of the Critical Energy Cybersecurity Accelerator Program Continues System Visibility Evaluations,other,https://www.energy.gov/ceser/articles/second-cohort-critical-energy-cybersecurity-accelerator-program-continues-system
2025-07-31,NNSA issues draft Surplus Plutonium Disposition Program Environmental Impact Statement for public comment,policy,https://www.energy.gov/nnsa/articles/nnsa-issues-draft-surplus-plutonium-disposition-program-environmental-impact
2025-07-19,Energy Department Releases Guidance to Identify High-Priority Areas for Transmission Development,other,https://www.energy.gov/gdo/articles/energy-department-releases-guidance-identify-high-priority-areas-transmission
2025-07-22,Department of Energy Announces $24 Million for Research on Quantum Networks,other,https://www.energy.gov/science/articles/department-energy-announces-24-million-research-quantum-networks
2025-07-24,"U.S. Department of Energy Releases Plan to Ensure Free, Immediate, and Equitable Access to Federally Funded Research",other,https://www.energy.gov/articles/us-department-energy-releases-plan-ensure-free-immediate-and-equitable-access-federally
